Washroom Building Asset ID,Park Name,Building Name,GIS Coordinate,Access
29678,TORONTO ISLANDS - ISLAND PARK,ISLAND PARK PARADISE RESTAURANT - BUILDING 39,"(-79.3786386599999,43.62336497)",Public
29685,TORONTO ISLANDS - ISLAND PARK,ISLAND PARK WASHROOM - BUILDING 35,"(-79.37630671,43.62027855)",Public
29689,TORONTO ISLANDS - ISLAND PARK,ISLAND PARK WASHROOM AND SHELTER - BUILDING 38,"(-79.37907424,43.62231261)",Public
34582,TORONTO ISLANDS - ISLAND PARK,ISLAND PARK WHITE HOUSE - BUILDING 26,"(-79.3816125499999,43.61380135)",Staff
34602,TORONTO ISLANDS - ISLAND PARK,ISLAND PARK MARINA WASHROOM (  1) - BUILDING 33,"(-79.38175217,43.62356495)",Private
34603,TORONTO ISLANDS - ISLAND PARK,ISLAND PARK CENTREVILLE WASHROOM - BUILDING 34,"(-79.3731149299999,43.6203673299999)",Public
34607,TORONTO ISLANDS - ISLAND PARK,ISLAND PARK MARINA WASHROOM (  2),"(-79.3835985999999,43.62440413)",Private
29705,TORONTO ISLANDS - OLYMPIC ISLAND PARK,OLYMPIC ISLAND PARK WASHROOMS - BUILDING 47,"(-79.3736826399999,43.62329584)",Public
13691,TORONTO ISLANDS - WARD'S ISLAND PARK,WARD'S ISLAND FERRY DOCK WAITING HOUSE,"(-79.35706821,43.6310664300001)",Public
29708,TORONTO ISLANDS - WARD'S ISLAND PARK,"WARD'S ISLAND ""CHIPPEWA HOUSE"" - BUILDING 68","(-79.36529069,43.62074109)",Public
29710,TORONTO ISLANDS - WARD'S ISLAND PARK,WARD'S ISLAND PARK SUNSHINE CENTRE FOR SENIORS - BUILDING 64,"(-79.35555282,43.62885384)",Public
29711,TORONTO ISLANDS - WARD'S ISLAND PARK,WARD'S ISLAND PARK TORONTO FIREHALL - Washroom Building,,
34605,TORONTO ISLANDS - WARD'S ISLAND PARK,WARD'S ISLAND PARK WASHROOM - BUILDING 60,"(-79.3538084999999,43.63125967)",Public
1048,TORONTO TRACK AND FIELD CENTRE - Building Grounds,TORONTO TRACK AND FIELD CENTRE,"(-79.5069737299999,43.7765902099999)",Public
29713,TOURNAMENT PARK,TOURNAMENT PARK TENNIS CLUBHOUSE,"(-79.4005946899999,43.75105109)",Members
29716,TRINITY BELLWOODS PARK,TRINITY BELLWOODS PARK - Washroom Building (  2),"(-79.41368713,43.64953473)",Public
29717,TRINITY BELLWOODS PARK,TRINITY BELLWOODS PARK - Washroom Building (  1),"(-79.41509415,43.64906277)",Public
29720,VALLEYFIELD PARK,VALLEYFIELD PARK FIELDHOUSE,,
29724,WANLESS PARK,WANLESS PARK - Fieldhouse,"(-79.3918777699999,43.72882539)",Public
28907,WEDGEWOOD PARK - ETOBICOKE,WEDGEWOOD PARK A.I.R. BUILDING,"(-79.54754966,43.64455301)",Public
29728,WELLESWORTH PARK,WELLESWORTH PARK - Washroom Building,"(-79.5737925799999,43.65711402)",Members
29729,WELLS HILL PARK,WELLS HILL PARK - Washroom Building,"(-79.41634327,43.6823371000001)",Public
29732,WEST DEANE PARK,WEST DEANE PARK - Washroom Building,"(-79.5575520099999,43.66083807)",Members
29740,WEXFORD PARK,WEXFORD PARK - Fieldhouse,"(-79.2971832,43.73367211)",Public
32745,WILKET CREEK PARK,WILKET CREEK PARK WASHROOM AND MAINTENANCE BUILDING,"(-79.3529966699999,43.72143809)",Public
29746,WISHING WELL PARK,WISHING WELL PARK - Fieldhouse,"(-79.31696456,43.76983933)",Public
29749,WITHROW PARK,WITHROW PARK - Washroom Building,"(-79.3463941699999,43.6747043999999)",Public
29750,WITHROW PARK,WITHROW PARK CLUBHOUSE,"(-79.3480046999999,43.67586843)",Public
29751,WITHROW PARK,WITHROW PARK NORTH WASHROOM BUILDING,"(-79.34742977,43.6756746799999)",Public
29753,WITHROW PARK,WITHROW PARK SOUTH WASHROOM BUILDING,"(-79.3456155,43.6728928399999)",Public
5459,WOODBINE BEACH PARK,DONALD D. SUMMERVILLE OLYMPIC POOLS,"(-79.3047117299999,43.66496518)",Public
37104,WOODBINE BEACH PARK,WOODBINE BATHING STATION,"(-79.3079182099999,43.66274627)",Public
41663,WOODBINE PARK,WOODBINE PARK - Fieldhouse,"(-79.31222283,43.6648613699999)",Public
